source,source_type,target,target_type,relation
H0928,Herb,Serotonin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Aloe-Emodin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Physcion,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Chrysophanol,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Rhein,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Gallic Acid,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Epicatechin Gallate,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Catechin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Quinalizarin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Purpurin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Anthraquinone,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Hesperidin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Glycyrrhizin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Baicalin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,(-)-Epicatechin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Magnolol,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Honokiol,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Naringin,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Cinnamic Acid,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Resveratrol,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Ferulic Acid,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Piceatannol,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Caffeic Acid,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Baicalein,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Resveratrol 4'-Methyl Ether,Ingredient,CONTAINS_INGREDIENT
H0928,Herb,Cianidanol,Ingredient,CONTAINS_INGREDIENT
H0993,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Acetylshikonin,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Shikonin,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Rosmarinic Acid,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Phenanthrene,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Methyleugenol,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Paeonol,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Camphor,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Cinnamaldehyde,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Anethole,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Alkannin,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,Phenylethyl Alcohol,Ingredient,CONTAINS_INGREDIENT
H0673,Herb,"4,7,7-Trimethylbicyclo[2.2.1]Heptan-3-One",Ingredient,CONTAINS_INGREDIENT
H0662,Herb,Stigmasterol,Ingredient,CONTAINS_INGREDIENT
H0662,Herb,Terpinen-4-Ol,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Scoparone,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Chlorogenic Acid,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Scopoletin,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Kaempferol,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Hyperoside,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Astragalin,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Eupafolin,Ingredient,CONTAINS_INGREDIENT
H0730,Herb,Jaceosidine,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Gamma-Aminobutyric Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Stearic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Palmitic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Linolenic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Vanillic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Myristic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Beta-Sitosterol,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Luteolin,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Chrysoeriol,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Rutin,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Diosmetin,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Benzaldehyde,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Palmitoleic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Propionic Acid,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,Plaunotol,Ingredient,CONTAINS_INGREDIENT
H1108,Herb,2-Nonenal,Ingredient,CONTAINS_INGREDIENT
H0812,Herb,Trigonelline,Ingredient,CONTAINS_INGREDIENT
H0812,Herb,Scopoletin,Ingredient,CONTAINS_INGREDIENT
H0812,Herb,Morin,Ingredient,CONTAINS_INGREDIENT
H0812,Herb,Borneol,Ingredient,CONTAINS_INGREDIENT
H0812,Herb,Sanggenone G,Ingredient,CONTAINS_INGREDIENT
H1159,Herb,Risedronic Acid,Ingredient,CONTAINS_INGREDIENT
H0630,Herb,Amentoflavone,Ingredient,CONTAINS_INGREDIENT
H0630,Herb,Wedelolactone,Ingredient,CONTAINS_INGREDIENT
H0630,Herb,Pinusolide,Ingredient,CONTAINS_INGREDIENT
H0630,Herb,"(1R,9S)-4,11,11-Trimethyl-8-Methylenebicyclo[7.2.0]Undec-4-Ene,Caryophellene,?-Caryophyllene",Ingredient,CONTAINS_INGREDIENT
H0912,Herb,Quercitrin,Ingredient,CONTAINS_INGREDIENT
H0912,Herb,Quercetin,Ingredient,CONTAINS_INGREDIENT
H0912,Herb,Stearic Acid,Ingredient,CONTAINS_INGREDIENT
H0912,Herb,Sesamol,Ingredient,CONTAINS_INGREDIENT
H0912,Herb,Oleanolic_Acid,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Fumaric Acid,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Psoralen,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Bergapten,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Benzaldehyde,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Eugenol,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Linoleic Acid,Ingredient,CONTAINS_INGREDIENT
H0595,Herb,Citral,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Isoliquiritigenin,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Spermidine,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Daidzein,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Sakuranetin,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Eupatorin,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Hispidulin,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Apigenin,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Genistein,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Cyanidin Chloride,Ingredient,CONTAINS_INGREDIENT
H1174,Herb,Daidzin,Ingredient,CONTAINS_INGREDIENT
