source,source_type,relation,target,target_type
38694562,Paper,MENTIONS,depression,Disease
38694562,Paper,MENTIONS,mice,Species
37802855,Paper,MENTIONS,depression,Disease
37802855,Paper,MENTIONS,depressive disorder,Disease
38152691,Paper,MENTIONS,depression,Disease
38152691,Paper,MENTIONS,anhedonia,Symptom
38152691,Paper,MENTIONS,hopelessness,Symptom
41015814,Paper,MENTIONS,depression,Disease
36698870,Paper,MENTIONS,depression,Disease
36698870,Paper,MENTIONS,systematic review,Evidence
36698870,Paper,MENTIONS,meta-analysis,Evidence
36698870,Paper,MENTIONS,sucrose preference,Experiment_indicator
36698870,Paper,MENTIONS,rats,Species
36774722,Paper,MENTIONS,post-stroke depression,Disease
36774722,Paper,MENTIONS,depression,Disease
36774722,Paper,MENTIONS,patient,Species
36774722,Paper,MENTIONS,rat,Species
36774722,Paper,MENTIONS,rats,Species
36774722,Paper,MENTIONS,stat3,Target
36774722,Paper,MENTIONS,gsk3β,Target
40154896,Paper,MENTIONS,post-stroke depression,Disease
40154896,Paper,MENTIONS,network pharmacology,Evidence
40154896,Paper,MENTIONS,sucrose preference,Experiment_indicator
40154896,Paper,MENTIONS,tail suspension test,Experiment_indicator
40154896,Paper,MENTIONS,open field test,Experiment_indicator
40154896,Paper,MENTIONS,tnf,Pathway
40154896,Paper,MENTIONS,calcium signaling pathway,Pathway
40154896,Paper,MENTIONS,mice,Species
40154896,Paper,MENTIONS,rat,Species
40154896,Paper,MENTIONS,mouse,Species
40154896,Paper,MENTIONS,creb,Target
40154896,Paper,MENTIONS,bdnf,Target
40382939,Paper,MENTIONS,cancer-related depression,Disease
40382939,Paper,MENTIONS,depression,Disease
40382939,Paper,MENTIONS,molecular docking,Evidence
40382939,Paper,MENTIONS,saikosaponin a,Ingredient
40382939,Paper,MENTIONS,saikosaponin d,Ingredient
40382939,Paper,MENTIONS,mouse,Species
40382939,Paper,MENTIONS,mice,Species
40945251,Paper,MENTIONS,depression,Disease
40945251,Paper,MENTIONS,network pharmacology,Evidence
40945251,Paper,MENTIONS,multi-omics,Evidence
40945251,Paper,MENTIONS,xiaoyao san,Formula
40945251,Paper,MENTIONS,rat,Species
37597362,Paper,MENTIONS,depression,Disease
37597362,Paper,MENTIONS,danzhi xiaoyao san,Formula
37597362,Paper,MENTIONS,human,Species
37597362,Paper,MENTIONS,liver qi stagnation,Syndrome
37597362,Paper,MENTIONS,blood deficiency,Syndrome
39197805,Paper,MENTIONS,depression,Disease
39197805,Paper,MENTIONS,network pharmacology,Evidence
39197805,Paper,MENTIONS,molecular docking,Evidence
39197805,Paper,MENTIONS,danzhi xiaoyao san,Formula
39197805,Paper,MENTIONS,senkyunolide a,Ingredient
39197805,Paper,MENTIONS,atractylenolide iii,Ingredient
39197805,Paper,MENTIONS,mapk,Pathway
39197805,Paper,MENTIONS,mice,Species
39197805,Paper,MENTIONS,akt1,Target
39197805,Paper,MENTIONS,mapk1,Target
39197805,Paper,MENTIONS,erk1/2,Target
41061289,Paper,MENTIONS,postpartum depression,Disease
41061289,Paper,MENTIONS,network pharmacology,Evidence
41061289,Paper,MENTIONS,molecular docking,Evidence
41061289,Paper,MENTIONS,sucrose preference,Experiment_indicator
41061289,Paper,MENTIONS,open field test,Experiment_indicator
41061289,Paper,MENTIONS,xiaoyao san,Formula
41061289,Paper,MENTIONS,guipi tang,Formula
41061289,Paper,MENTIONS,pi3k-akt,Pathway
41061289,Paper,MENTIONS,rat,Species
41061289,Paper,MENTIONS,rats,Species
41061289,Paper,MENTIONS,jnk,Target
41061289,Paper,MENTIONS,il-6,Target
41061289,Paper,MENTIONS,il-1β,Target
39515106,Paper,MENTIONS,depression,Disease
39515106,Paper,MENTIONS,anxiety,Disease
39515106,Paper,MENTIONS,food intake,Experiment_indicator
39515106,Paper,MENTIONS,anxiety,Symptom
37632305,Paper,MENTIONS,depression,Disease
37632305,Paper,MENTIONS,controlled clinical trial,Evidence
37632305,Paper,MENTIONS,placebo-controlled trial,Evidence
37632305,Paper,MENTIONS,network pharmacology,Evidence
37632305,Paper,MENTIONS,metabolomics,Evidence
37632305,Paper,MENTIONS,molecular docking,Evidence
37632305,Paper,MENTIONS,quercetin,Ingredient
37632305,Paper,MENTIONS,luteolin,Ingredient
34968660,Paper,MENTIONS,depression,Disease
34968660,Paper,MENTIONS,systematic review,Evidence
34968660,Paper,MENTIONS,meta-analysis,Evidence
39687683,Paper,MENTIONS,depression,Disease
39687683,Paper,MENTIONS,hpa axis,Pathway
39687683,Paper,MENTIONS,mice,Species
39687683,Paper,MENTIONS,rats,Species
39687683,Paper,MENTIONS,il-1β,Target
39687683,Paper,MENTIONS,il-6,Target
39687683,Paper,MENTIONS,nlrp3,Target
38375048,Paper,MENTIONS,depression,Disease
38375048,Paper,MENTIONS,metabolomics,Evidence
38375048,Paper,MENTIONS,network pharmacology,Evidence
38375048,Paper,MENTIONS,open field test,Experiment_indicator
