Compound Id,Pref Name,CAS,Pubchem ID,Chembl ID,Formula,Smiles,Herb ID
C0245,Niacin,CAS:59-67-6,CID:938,CHEMBL573,C6H5NO2,C1=CC(=CN=C1)C(=O)O,H0416
C0863,Adenine,CAS:73-24-5,CID:190,CHEMBL226345,C5H5N5,C1=NC2=NC=NC(=C2N1)N,H0416
C0390,Schisandrin B,CAS:61281-37-6,CID:108130,CHEMBL479488,C23H28O6,COc1cc2CC(C)C(C)Cc3c(c2c(c1OC)OC)c(OC)c1c(c3)OCO1,H0416
C0104,Ginsenoside Rh2,CAS:78214-33-2,CID:119307,CHEMBL1783834,C36H62O8,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)O)C,H0416
C0412,Spermidine,CAS:124-20-9,CID:1102,CHEMBL19612,C7H19N3,NCCCNCCCCN,H0416
C0363,Resveratrol,CAS:501-36-0,CID:445154,CHEMBL165,C14H12O3,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,H0416
C0308,Piceatannol,CAS:10083-24-6,CID:667639,CHEMBL69863,C14H12O4,Oc1cc(/C=C/c2ccc(c(c2)O)O)cc(c1)O,H0416
C1176,Besigomsin,CAS:58546-54-6,CID:3001662,CHEMBL403578,C23H28O7,COc1cc2C[C@](C)(O)[C@@H](C)Cc3c(c2c(c1OC)OC)c(OC)c1c(c3)OCO1,H0416
C0285,Palmitic Acid,CAS:57-10-3,CID:985,CHEMBL82293,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,H0416
C0457,Tricin,CAS:520-32-1,CID:5281702,CHEMBL454320,C17H14O7,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,H0416
C0420,Succinic Acid,CAS:110-15-6,CID:1110,CHEMBL576,C4H6O4,C(CC(=O)O)C(=O)O,H0416
C0164,Kaempferol,CAS:520-18-3,CID:5280863,CHEMBL150,C15H10O6,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,H0416
C1246,Citric Acid,CAS:77-92-9,CID:311,CHEMBL1261,C6H8O7,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,H0416
C0352,Quercetin,CAS:117-39-5,CID:5280343,CHEMBL50,C15H10O7,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,H0416
C0340,Putrescine,CAS:110-60-1,CID:1045,CHEMBL46257,C4H12N2,C(CCN)CN,H0416
C0483,Vitexin,CAS:3681-93-4,CID:5280441,CHEMBL487417,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,H0416
C0159,Isovitexin,CAS:38953-85-4,CID:162350,CHEMBL465360,C21H20O10,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,H0416
C0240,Naphthalene,None,CID:931,CHEMBL16293,C10H8,C1=CC=C2C=CC=CC2=C1,H0416
C0333,Protocatechuic Acid,CAS:99-50-3,CID:72,CHEMBL37537,C7H6O4,C1=CC(=C(C=C1C(=O)O)O)O,H0416
C0291,Paraben,None,CID:3702506,CHEMBL441343,C7H6O3,Oc1ccc(cc1)C(=O)O,H0416
C0455,Trans-Phytol,CAS:150-86-7,CID:5280435,CHEMBL1644111,C20H40O,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,H0416
C1203,Caffeic Acid,CAS:331-39-5,CID:689043,CHEMBL145,C9H8O4,C1=CC(=C(C=C1C=CC(=O)O)O)O,H0416
C0277,O-Xylene,CAS:95-47-6,CID:7237,CHEMBL45005,C8H10,CC1=CC=CC=C1C,H0416
C0228,M-Xylene,CAS:108-38-3,CID:7929,CHEMBL286727,C8H10,CC1=CC(=CC=C1)C,H0416
C1201,Butylated Hydroxytoluene,CAS:128-37-0,CID:31404,CHEMBL146,C15H24O,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,H0416
C0065,Eupafolin,CAS:520-11-6,CID:5317284,CHEMBL172350,C16H12O7,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(c(c1)O)O,H0416
C0014,Dibutyl Phthalate,CAS:84-74-2,CID:3026,CHEMBL272485,C16H22O4,CCCCOC(=O)c1ccccc1C(=O)OCCCC,H0416
C0283,Paeonol,CAS:552-41-0,CID:11092,CHEMBL1079227,C9H10O3,CC(=O)C1=C(C=C(C=C1)OC)O,H0416
C1178,Beta-Sitosterol,None,CID:222284,CHEMBL221542,C29H50O,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,H0416
C0204,Malonic Acid,CAS:141-82-2,CID:867,CHEMBL7942,C3H4O4,OC(=O)CC(=O)O,H0416
C0189,Linoleic Acid,CAS:60-33-3,CID:5280450,CHEMBL267476,C18H32O2,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,H0416
C0371,Riboflavin,None,CID:493570,CHEMBL1534,C17H20N4O6,OC[C@H]([C@H]([C@H](Cn1c2cc(C)c(cc2nc2c1nc(=O)nc2O)C)O)O)O,H0416
C0383,Salicylic Acid,CAS:69-72-7,CID:338,CHEMBL424,C7H6O3,C1=CC=C(C(=C1)C(=O)O)O,H0416
C1162,Benzaldehyde,None,CID:240,CHEMBL15972,C7H6O,O=Cc1ccccc1,H0416
C0258,Octanoic Acid,None,CID:379,CHEMBL324846,C8H16O2,CCCCCCCC(=O)O,H0416
C0867,Alcohol,None,CID:702,CHEMBL545,C2H6O,CCO,H0416
C0259,Octanol,CAS:111-87-5,CID:957,CHEMBL26215,C8H18O,CCCCCCCCO,H0416
C0344,Pyridine,None,CID:1049,CHEMBL266158,C5H5N,c1cccnc1,H0416
C0450,Toluene,CAS:108-88-3,CID:1140,CHEMBL9113,C7H8,CC1=CC=CC=C1,H0416
C0479,Vanillin,CAS:121-33-5,CID:1183,CHEMBL13883,C8H8O3,COC1=C(C=CC(=C1)C=O)O,H0416
C0064,Eugenol,CAS:97-53-0,CID:3314,CHEMBL42710,C10H12O2,COC1=C(C=CC(=C1)CC=C)O,H0416
C0416,Stearic Acid,CAS:57-11-4,CID:5281,CHEMBL46403,C18H36O2,CCCCCCCCCCCCCCCCCC(=O)O,H0416
C1193,Bisphenol A,CAS:80-05-7,CID:6623,CHEMBL418971,C15H16O2,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,H0416
C0231,Myristic Acid,CAS:544-63-8,CID:11005,CHEMBL111077,C14H28O2,CCCCCCCCCCCCCC(=O)O,H0416
C0072,Farnesol,CAS:4602-84-0,CID:445070,CHEMBL25308,C15H26O,CC(=CCCC(=CCCC(=CCO)C)C)C,H0416
C0287,Palmitoleic Acid,CAS:373-49-9,CID:445638,CHEMBL453509,C16H30O2,CCCCCC/C=C\CCCCCCCC(=O)O,H0416
C0263,Oleic Acid,CAS:112-80-1,CID:445639,CHEMBL8659,C18H34O2,CCCCCCCCC=CCCCCCCCC(=O)O,H0416
C0365,Retinal,None,CID:638015,CHEMBL81379,C20H28O,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C,H0416
C0190,Linolenic Acid,CAS:463-40-1,CID:5280934,CHEMBL8739,C18H30O2,CCC=CCC=CCC=CCCCCCCCC(=O)O,H0416
C0423,Syringin,CAS:118-34-3,CID:5316860,CHEMBL250872,C17H24O9,OC/C=C/c1cc(OC)c(c(c1)OC)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,H0416
C0522,Falcarinol,CAS:21852-80-2,CID:5469789,CHEMBL368712,C17H24O,CCCCCCC/C=C\CC#CC#C[C@H](C=C)O,H0416
C0504,Limonene,CAS:138-86-3,CID:440917,CHEMBL449062,C10H16,CC1=CCC(CC1)C(=C)C,H0416
C0513,Squalene,CAS:111-02-4,CID:638072,CHEMBL458402,C30H50,C/C(=CCC/C=C(/CC/C=C(/CCC=C(C)C)C)C)/CC/C=C(/CCC=C(C)C)C,H0416
C0547,Caryophyllene,CAS:87-44-5,CID:5281522,CHEMBL448700,C15H24,C/C/1=C/CCC(=C)[C@@H]2[C@@H](CC1)C(C2)(C)C,H0416
C0839,"(2E,4E)-Deca-2,4-Dienal",CAS:25152-84-5,CID:5283349,CHEMBL443949,C10H16O,CCCCCC=CC=CC=O,H0416
C0548,Alpha-Humulone,None,CID:5281520,CHEMBL251280,C15H24,CC1=CCC(C=CCC(=CCC1)C)(C)C,H0416
C0813,(20S)-Protopanaxadiol,CAS:30636-90-9,CID:11213350,CHEMBL375563,C30H52O3,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C,H0416
