symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Dyssomnia,SMHB00180,0.016379,0.044013,1
Abdomen Distention,SMHB00180,None,None,None
Insomnia,SMHB00180,None,None,None
Cough Productive,SMHB00180,None,None,None
"Sputums, Induced",SMHB00180,None,None,None
Subwakefullness Syndromes,SMHB00180,0.016379,0.044013,1
Hyperalgia,SMHB00180,0.008222,0.031456,1
Palpitation(S),SMHB00180,None,None,None
Cough,SMHB00180,None,None,None
 Long Sleeper Syndrome,SMHB00180,0.016379,0.044013,1
Bronchial Asthma,SMHB00180,None,None,None
Sputum,SMHB00180,None,None,None
 Sleep-Related Neurogenic Tachypnoea,SMHB00180,0.016379,0.044013,1
Short-Sleeper,SMHB00180,0.016379,0.044013,1
 Cough Increased,SMHB00180,0.008222,0.031456,1
Wheezing,SMHB00180,None,None,None
Sleep Disorder,SMHB00180,0.000381,0.002828,1
Poor Quality Sleep,SMHB00180,0.008222,0.031456,1
Scabies,SMHB00675,0.0283,0.05602,1
Miliaria,SMHB00675,8.70E-05,0.000842,1
Urinary Tract Stone,SMHB00675,0.000258,0.002062,1
Urolithiasis,SMHB00675,0.00952,0.03422,1
Sarcoptic Red Mange,SMHB00675,0.0283,0.05602,1
Skin Breakdown,SMHB00675,0.00952,0.03422,1
Micturition Burning,SMHB00675,1.00E-06,1.50E-05,0.018582
Prickly Heat,SMHB00675,0.00952,0.03422,1
Polydipsia,SMHB00675,0.037562,0.066353,1
 Urinary Tract Pain,SMHB00675,0.04674,0.076544,1
Urethral Pain,SMHB00675,7.00E-06,0.000107,0.183534
Scabies,SMHB00676,0.0283,0.05602,1
Miliaria,SMHB00676,8.70E-05,0.000842,1
Urinary Tract Stone,SMHB00676,0.000258,0.002062,1
Urolithiasis,SMHB00676,0.00952,0.03422,1
Sarcoptic Red Mange,SMHB00676,0.0283,0.05602,1
Skin Breakdown,SMHB00676,0.00952,0.03422,1
Micturition Burning,SMHB00676,1.00E-06,1.50E-05,0.018582
Prickly Heat,SMHB00676,0.00952,0.03422,1
Polydipsia,SMHB00676,0.037562,0.066353,1
 Urinary Tract Pain,SMHB00676,0.04674,0.076544,1
Urethral Pain,SMHB00676,7.00E-06,0.000107,0.183534
Cough,SMHB00674,7.00E-06,0.0001,0.16913
Cough Persistent,SMHB00674,0.000251,0.002017,1
King Evil,SMHB00674,0.017208,0.045046,1
Scrofula,SMHB00674,0.038342,0.067282,1
Right Flank Pain,SMHB00176,None,None,None
Muscle Fatigue,SMHB00176,None,None,None
Flank Pain,SMHB00176,None,None,None
Hemorrhoids,SMHB00176,0,9.00E-06,0.010694
Abdominal Pain,SMHB00176,None,None,None
Smarting Of Skin,SMHB00176,0.011251,0.037373,1
Hematoma,SMHB00176,0.022379,0.050405,1
Skin Pain,SMHB00176,0.011251,0.037373,1
 Emotional Depression,SMHB00176,None,None,None
Malaise And Fatigue,SMHB00176,None,None,None
Cough,SMHB00176,None,None,None
Bronchiectasis,SMHB00176,0.000122,0.001114,1
Otitis,SMHB00176,0.011251,0.037373,1
Skin Swelling,SMHB00176,0.022379,0.050405,1
Abdomen Bloating,SMHB00176,None,None,None
Ache,SMHB00176,0.026642,0.054547,1
Nervousness,SMHB00176,None,None,None
Ear Drainage,SMHB00176,0.022379,0.050405,1
Hemorrhoid Bleeding,SMHB00176,0.033388,0.061682,1
Left Flank Pain,SMHB00176,None,None,None
Lips Bleeding,SMHB00176,0.011251,0.037373,1
Hypervigilance,SMHB00176,None,None,None
Vaginal Bleeding,SMHB00176,0.011251,0.037373,1
Anxiety,SMHB00176,None,None,None
Cough Persistent,SMHB00176,0.001776,0.009729,1
Gastric Ulcer Bleeding,SMHB00176,0.011251,0.037373,1
 Acute Suppurative Otitis Media In Diseases Classified Elsewhere,SMHB00176,0.000122,0.001114,1
Abdominal Tenderness,SMHB00173,0.015578,0.043506,1
 Physical Suffering,SMHB00173,None,None,None
Gastric Disorder,SMHB00173,0.030919,0.058607,1
Vomiting Neonatal,SMHB00173,0.015578,0.043506,1
"Sputums, Induced",SMHB00173,None,None,None
 Cryptogenic Epilepsies,SMHB00173,None,None,None
Anterior Cervical Pains,SMHB00173,0.015578,0.043506,1
Abdominal Pain,SMHB00173,None,None,None
Hyperalgia,SMHB00173,None,None,None
Diarrhea,SMHB00173,None,None,None
Aura,SMHB00173,None,None,None
Single Seizure,SMHB00173,None,None,None
Emesis,SMHB00173,None,None,None
Pain,SMHB00173,None,None,None
"Cervical Pain, Posterior",SMHB00173,0.015578,0.043506,1
Eating Disorder,SMHB00173,0.046028,0.075628,1
Burning Pain,SMHB00173,None,None,None
"Diarrhea, Chronic",SMHB00173,0.046028,0.075628,1
"Epilepsy, Awakening",SMHB00173,None,None,None
 Splitting Pain,SMHB00173,None,None,None
Diarrhea Acute,SMHB00173,0.015578,0.043506,1
Sputum,SMHB00173,None,None,None
 Migratory Pain,SMHB00173,None,None,None
Joint Stiffness,SMHB00173,0.015578,0.043506,1
Epilepsy,SMHB00173,None,None,None
Diarrhea Watery,SMHB00173,0.015578,0.043506,1
Ache,SMHB00173,None,None,None
Aphagia,SMHB00173,0.015578,0.043506,1
Loss Of Appetite,SMHB00173,0.015578,0.043506,1
Gagging,SMHB00173,None,None,None
Pain Radiating,SMHB00173,None,None,None
Crushing Pain,SMHB00173,None,None,None
Neck Pain,SMHB00173,0.015578,0.043506,1
General Abdominal Pain-Symptom,SMHB00173,0.015578,0.043506,1
Decreased Appetite,SMHB00173,None,None,None
Sputum Purulent,SMHB00173,None,None,None
Constipation,SMHB00190,None,None,None
Xerostomia,SMHB00190,0.008632,0.032544,1
 Anemic,SMHB00190,0.003459,0.016608,1
Respiratory Abnormality,SMHB00190,None,None,None
Anemia,SMHB00190,0.001731,0.00953,1
Cough,SMHB00190,None,None,None
 Feeling Of Residual Urine,SMHB00190,None,None,None
Anus,SMHB00190,0.003459,0.016608,1
Defecation Pain,SMHB00190,None,None,None
Colonic Inertia,SMHB00190,None,None,None
Pneumonia,SMHB00177,None,None,None
Neoplastic Growth,SMHB00177,None,None,None
 Physical Suffering,SMHB00177,None,None,None
Cough Productive,SMHB00177,None,None,None
Vomiting Neonatal,SMHB00177,None,None,None
Hyperphagia,SMHB00177,0.015578,0.043506,1
Vaginal Discharge White,SMHB00177,None,None,None
Rheumatism,SMHB00177,None,None,None
Soft Tissue Injury,SMHB00177,0.000236,0.001923,1
Dysuria,SMHB00177,None,None,None
Amenorrhea,SMHB00177,0.046028,0.075628,1
Vagina,SMHB00177,0.046028,0.075628,1
Caustic Injury,SMHB00177,None,None,None
Hyperalgia,SMHB00177,None,None,None
"Amenorrhea, Postpartum",SMHB00177,0.046028,0.075628,1
Jaundice,SMHB00177,None,None,None
Pain,SMHB00177,None,None,None
Arthritic Pains,SMHB00177,None,None,None
Cough,SMHB00177,None,None,None
Burning Pain,SMHB00177,None,None,None
 Splitting Pain,SMHB00177,None,None,None
Pneumonia Lobar,SMHB00177,None,None,None
 Migratory Pain,SMHB00177,None,None,None
Carbuncle,SMHB00177,None,None,None
Musculoskeletal Pain,SMHB00177,0.030919,0.058607,1
Skin Ulcer(S),SMHB00177,None,None,None
Ache,SMHB00177,None,None,None
Scald,SMHB00177,0.030919,0.058607,1
Neoplasm Benign Nos,SMHB00177,0.015578,0.043506,1
Second Degree Burn,SMHB00177,0.015578,0.043506,1
Abdomen Tumor,SMHB00177,0.030919,0.058607,1
Ocular Icterus,SMHB00177,0.015578,0.043506,1
Pain Radiating,SMHB00177,None,None,None
Crushing Pain,SMHB00177,None,None,None
Menopause,SMHB00177,None,None,None
Experimental Lung Inflammation,SMHB00177,None,None,None
Cough Persistent,SMHB00177,0.003404,0.016389,1
Neoplastic Growth,SMHB00196,None,None,None
Cyst,SMHB00196,0.025717,0.053532,1
Amenorrhea,SMHB00196,0.015504,0.043506,1
"Amenorrhea, Postpartum",SMHB00196,0.015504,0.043506,1
Contusion,SMHB00196,0.025717,0.053532,1
Chest Mass,SMHB00196,0.01036,0.03576,1
Abdomen Bloating,SMHB00196,0.030787,0.058607,1
Pelvis Tumor,SMHB00196,0.005193,0.022802,1
Neoplasm Benign Nos,SMHB00196,0.005193,0.022802,1
Abdomen Tumor,SMHB00196,0.01036,0.03576,1
Purpuric Rash,SMHB00196,None,None,None
Menopause,SMHB00196,None,None,None
 Disease Of Diaphragm,SMHB00196,0.005193,0.022802,1
Panic State,SMHB00696,0.046197,0.075809,1
Sharp Headache,SMHB00696,0,0,0.000131
Facial Nerve Motor Disorder,SMHB00696,0.023367,0.051423,1
Stroke,SMHB00696,0,7.00E-06,0.007608
"Seizure, Convulsion",SMHB00696,0.023367,0.051423,1
Heaviness Of Head,SMHB00696,0.046197,0.075809,1
"Headache, Periorbital",SMHB00696,0,0,0.000131
Bilateral Headache,SMHB00696,0,0,0.000131
Other Conjunctivitis Nos,SMHB00696,0.023367,0.051423,1
Ocular Headache,SMHB00696,0,0,0.000131
Parotid Enlargement,SMHB00696,0.000536,0.003704,1
Sensory Seizure,SMHB00696,0.023367,0.051423,1
Facial Nerve Sensory Disorder,SMHB00696,0.023367,0.051423,1
Seizure Focal,SMHB00696,0.023367,0.051423,1
Headache Throbbing,SMHB00696,0,0,0.000131
Facial Neuritides,SMHB00696,0.023367,0.051423,1
Radiculopathy,SMHB00696,0.023367,0.051423,1
Seizure(S) Jacksonian,SMHB00696,0.023367,0.051423,1
Lethargy,SMHB00696,0.023367,0.051423,1
Orthostatic Headache,SMHB00696,0,0,0.000131
Facial Myokymia,SMHB00696,0.023367,0.051423,1
Nerve Root Disorder,SMHB00696,0.023367,0.051423,1
Seizures,SMHB00696,0,3.00E-06,0.002904
Seizure Generalized,SMHB00696,0.023367,0.051423,1
Visual Epilepsy,SMHB00696,0.023367,0.051423,1
Olfactory Uncinate Fit,SMHB00696,0.023367,0.051423,1
 Cva Nos Acute,SMHB00696,0,3.00E-06,0.002904
"Neuralgia, Sluder",SMHB00696,0.023367,0.051423,1
Convulsions Neonatal,SMHB00696,0.001584,0.008871,1
Cervical Radiculopathy,SMHB00696,0.023367,0.051423,1
Tonic Seizure,SMHB00696,0.023367,0.051423,1
Trigeminal Autonomic Cephalgia,SMHB00696,0.023367,0.051423,1
Clonic Seizure,SMHB00696,0.046197,0.075809,1
Nerve Root Pain,SMHB00696,0.023367,0.051423,1
 Seizure(S) Somatosensory,SMHB00696,0.023367,0.051423,1
Neuralgia Facial,SMHB00696,0.023367,0.051423,1
Scalp Pruritus,SMHB00696,0.023367,0.051423,1
 Parotid Disease,SMHB00696,0.023367,0.051423,1
"Disorder Of Seventh Cranial Nerve, Nos",SMHB00696,0.023367,0.051423,1
Acquired Facial Neuropathies,SMHB00696,0.023367,0.051423,1
"Facial Neuropathies, Familial",SMHB00696,0.023367,0.051423,1
Seizure(S) Grand Mal,SMHB00696,0.023367,0.051423,1
 Generalised Headache,SMHB00696,0,0,0.000131
Habit Disorder,SMHB00696,4.70E-05,0.000509,1
"Avulsion, Nerve Root",SMHB00696,0.023367,0.051423,1
Geniculate Ganglionitis,SMHB00696,0.023367,0.051423,1
Vocal Tic,SMHB00696,4.70E-05,0.000509,1
Motor Tics,SMHB00696,4.70E-05,0.000509,1
Vertex Headache,SMHB00696,0,0,0.000131
"Headache, Retro-Ocular",SMHB00696,0,0,0.000131
 [D]Fit (In Non-Epileptic) Nos,SMHB00696,0.023367,0.051423,1
Compression Nerve Root,SMHB00696,0.023367,0.051423,1
Earache,SMHB00696,0.023367,0.051423,1
"Headache, Dull",SMHB00696,3.10E-05,0.000361,0.763572
Headache Unilateral,SMHB00696,0,0,0.000131
Radiculitis,SMHB00696,0.023367,0.051423,1
Tenderness,SMHB00696,0.046197,0.075809,1
Myofacial Pain Syndrome,SMHB00696,0.023367,0.051423,1
Headache,SMHB00696,0,0,0.000322
Tetanus,SMHB00696,0.023367,0.051423,1
Gastric Disorder,SMHB00553,0.011221,0.037373,1
Vomiting Neonatal,SMHB00553,0.005625,0.024125,1
Gastrointestinal Discomfort,SMHB00553,0.000433,0.003125,1
Emesis,SMHB00553,0,9.00E-06,0.010394
Pneumatosis,SMHB00553,0.005625,0.024125,1
 Stomach Discomfort,SMHB00553,0.002944,0.014708,1
Gagging,SMHB00553,0.022326,0.050405,1
Right Flank Pain,SMHB00198,7.90E-05,0.000784,1
Shoulder Pain,SMHB00198,None,None,None
Neoplastic Growth,SMHB00198,None,None,None
Obesity,SMHB00198,0.02553,0.053474,1
 Physical Suffering,SMHB00198,None,None,None
Hyperphagia,SMHB00198,0.02553,0.053474,1
Psychotic Depression,SMHB00198,None,None,None
Menstrual Cramp,SMHB00198,None,None,None
Pain Shoulder Neck,SMHB00198,0.02553,0.053474,1
Flank Pain,SMHB00198,7.90E-05,0.000784,1
Epigastric Pain,SMHB00198,None,None,None
Biliary And Gallbladder Disorder,SMHB00198,0.02553,0.053474,1
Comedome,SMHB00198,None,None,None
Chest Pain,SMHB00198,None,None,None
Smarting Of Skin,SMHB00198,0.02553,0.053474,1
Hyperalgia,SMHB00198,None,None,None
Colic,SMHB00198,None,None,None
Hemorrhage Within 24 Hours Following Delivery Of Placenta,SMHB00198,None,None,None
Skin Pain,SMHB00198,0.02553,0.053474,1
Crescendo Angina,SMHB00198,None,None,None
Pain,SMHB00198,None,None,None
Petechiae Oral Mucosa,SMHB00198,0.003721,0.017655,1
Burning Pain,SMHB00198,None,None,None
 Splitting Pain,SMHB00198,None,None,None
Abdominal Cramp,SMHB00198,None,None,None
Angina Pectoris,SMHB00198,None,None,None
Infantile Colic,SMHB00198,None,None,None
 Migratory Pain,SMHB00198,None,None,None
Emaciation,SMHB00198,None,None,None
Speech Disorder,SMHB00198,0.02553,0.053474,1
Neck Injury,SMHB00198,0.02553,0.053474,1
Hemorrhage Postpartum,SMHB00198,None,None,None
Swelling,SMHB00198,None,None,None
Ache,SMHB00198,None,None,None
Hemorrhage After First 24 Hours Following Delivery Of Placenta,SMHB00198,None,None,None
Left Flank Pain,SMHB00198,7.90E-05,0.000784,1
Pain Precordial,SMHB00198,1.60E-05,0.000206,0.392264
Pain Radiating,SMHB00198,None,None,None
Crushing Pain,SMHB00198,None,None,None
Menopause,SMHB00198,None,None,None
Heat Intolerance,SMHB00198,0.02553,0.053474,1
Smarting,SMHB00198,None,None,None
Ecchymoses,SMHB00198,0.012393,0.039351,1
Acne,SMHB00198,None,None,None
Upper Extremity Pain Musculoskeletal,SMHB00198,None,None,None
Abdomen Distention,SMHB00199,0.020582,0.048222,1
Haemorrhage Ant Chamber Eye,SMHB00199,None,None,None
Right Flank Pain,SMHB00199,None,None,None
Hemorrhage,SMHB00199,None,None,None
Abdominal Tenderness,SMHB00199,0.019905,0.04715,1
Pulse Weakness,SMHB00199,0.00764,0.03009,1
 Physical Suffering,SMHB00199,None,None,None
 Overinclusion,SMHB00199,None,None,None
Gastric Disorder,SMHB00199,0.039422,0.067979,1
Vomiting Neonatal,SMHB00199,0.019905,0.04715,1
Flank Pain,SMHB00199,None,None,None
Abdominal Pain,SMHB00199,None,None,None
Hematemesis,SMHB00199,None,None,None
Chest Pain,SMHB00199,None,None,None
Hyperalgia,SMHB00199,None,None,None
Emesis,SMHB00199,None,None,None
Pain,SMHB00199,None,None,None
Attention Disorders,SMHB00199,None,None,None
Contusion,SMHB00199,0.003732,0.017702,1
Bronchiectasis,SMHB00199,0.000388,0.002844,1
Burning Pain,SMHB00199,None,None,None
 Splitting Pain,SMHB00199,None,None,None
Injuries Wounds,SMHB00199,None,None,None
 Migratory Pain,SMHB00199,None,None,None
Ache,SMHB00199,None,None,None
Left Flank Pain,SMHB00199,None,None,None
Lips Bleeding,SMHB00199,0.019905,0.04715,1
Gagging,SMHB00199,None,None,None
Pain Radiating,SMHB00199,None,None,None
Crushing Pain,SMHB00199,None,None,None
Vaginal Bleeding,SMHB00199,0.019905,0.04715,1
Smarting,SMHB00199,None,None,None
General Abdominal Pain-Symptom,SMHB00199,0.019905,0.04715,1
Gastric Ulcer Bleeding,SMHB00199,0.019905,0.04715,1
Cold Sweat,SMHB00200,None,None,None
Pulse Weakness,SMHB00200,None,None,None
"Child Development Disorders, Pervasive",SMHB00200,None,None,None
Dermatitis Eyelid,SMHB00200,None,None,None
Behavior Drinking,SMHB00200,None,None,None
Bronchitis Chronic,SMHB00200,0.0283,0.05602,1
Jaundice,SMHB00200,None,None,None
Autism Spectrum Disorder,SMHB00200,None,None,None
Malaise And Fatigue,SMHB00200,0.002992,0.014917,1
Tongue Discoloration,SMHB00200,None,None,None
Orofacial Oedema,SMHB00200,None,None,None
Abdomen Discomfort,SMHB00200,None,None,None
Bronchial Asthma,SMHB00200,None,None,None
Leukopenia,SMHB00200,8.70E-05,0.000842,1
Dyslipidemia,SMHB00200,0.00952,0.03422,1
Defecation Pain,SMHB00200,None,None,None
Aphagia,SMHB00200,None,None,None
Asthenia,SMHB00200,0,0,0
"Ejaculation
",SMHB00200,0.0283,0.05602,1
 Stomach Discomfort,SMHB00200,None,None,None
"Sports Injury, Nos",SMHB00200,0.00952,0.03422,1
Pervasive Developmental Disorder,SMHB00200,None,None,None
Dyslipoproteinemia,SMHB00200,0.00952,0.03422,1
Gastroenteritis,SMHB00200,0.00952,0.03422,1
Hyperlipidemia,SMHB00200,0.00952,0.03422,1
Viral Hepatitis,SMHB00200,0.00952,0.03422,1
Irritability,SMHB00689,0.011643,0.038067,1
Diarrhea,SMHB00689,0.000102,0.000959,1
Digestion Impaired,SMHB00689,0.019338,0.04715,1
Aphagia,SMHB00689,0.003894,0.018222,1
Tenesmus,SMHB00689,0.007775,0.030277,1
Heartburn,SMHB00689,1.30E-05,0.000181,0.334333
Hematemesis,SMHB00621,0.000597,0.004031,1
Urethra Hemorrhage,SMHB00621,0.003894,0.018222,1
Uterine Bleeding,SMHB00621,1.00E-06,2.50E-05,0.035199
Hemorrhage Postpartum,SMHB00621,0.001029,0.006237,1
 Appetite Disorder,SMHB00621,0.011643,0.038067,1
Metrorrhagia,SMHB00621,2.00E-06,3.80E-05,0.056208
Menorrhagia,SMHB00621,0.00028,0.002204,1
Menometrorrhagia,SMHB00621,0.00028,0.002204,1
Erythrosis,SMHB00216,0.019472,0.04715,1
Tongue Ulcer,SMHB00216,0.038573,0.067295,1
 Physical Suffering,SMHB00216,None,None,None
Cough Productive,SMHB00216,None,None,None
"Sputums, Induced",SMHB00216,None,None,None
Empyema,SMHB00216,None,None,None
Hoarseness,SMHB00216,None,None,None
Parotid Enlargement,SMHB00216,0.038573,0.067295,1
 Red,SMHB00216,0.019472,0.04715,1
Hyperalgia,SMHB00216,None,None,None
Odynophagia,SMHB00216,0.019472,0.04715,1
Aplasia,SMHB00216,0.019472,0.04715,1
Pain,SMHB00216,None,None,None
Cough,SMHB00216,None,None,None
Burning Pain,SMHB00216,None,None,None
 Splitting Pain,SMHB00216,None,None,None
Sputum,SMHB00216,None,None,None
 Migratory Pain,SMHB00216,None,None,None
Carbuncle,SMHB00216,None,None,None
Ache,SMHB00216,None,None,None
"Hoarseness, Neurogenic",SMHB00216,None,None,None
 Parotid Disease,SMHB00216,0.019472,0.04715,1
Nodule Subcutaneous,SMHB00216,0.019472,0.04715,1
Eyelid Irritation,SMHB00216,0.019472,0.04715,1
 Face Injury,SMHB00216,0.019472,0.04715,1
Throat Tightness,SMHB00216,None,None,None
Nose Dryness,SMHB00216,0.001099,0.006531,1
Pain Radiating,SMHB00216,None,None,None
Crushing Pain,SMHB00216,None,None,None
" Disease Of Vocal Cords, Nos",SMHB00216,0.002171,0.01147,1
Chest Symptom Heaviness,SMHB00216,None,None,None
Chest Symptom Heaviness,SMHB00216,None,None,None
Cough Persistent,SMHB00216,0.005293,0.023103,1
Sputum Purulent,SMHB00216,None,None,None
Abdomen Distention,SMHB00201,0.017176,0.045046,1
Right Flank Pain,SMHB00201,1.20E-05,0.000167,0.306036
Numbness,SMHB00201,None,None,None
 Physical Suffering,SMHB00201,None,None,None
Cough Productive,SMHB00201,None,None,None
"Sputums, Induced",SMHB00201,None,None,None
Eye Pain,SMHB00201,None,None,None
 Zoophaginae,SMHB00201,None,None,None
Flank Pain,SMHB00201,1.20E-05,0.000167,0.306036
Abdominal Pain,SMHB00201,None,None,None
Chest Pain,SMHB00201,0.000893,0.005537,1
Vulvovaginal Swelling,SMHB00201,0.018607,0.046865,1
Hyperalgia,SMHB00201,None,None,None
Polyarthralgia,SMHB00201,4.60E-05,0.0005,1
Virus,SMHB00201,None,None,None
Animal Virus,SMHB00201,None,None,None
Perineum Abscess,SMHB00201,0.018607,0.046865,1
Pain,SMHB00201,None,None,None
Arthralgia,SMHB00201,0,3.00E-06,0.003176
Arthritic Pains,SMHB00201,0,1.00E-06,0.001106
Cough,SMHB00201,None,None,None
Burning Pain,SMHB00201,None,None,None
 Splitting Pain,SMHB00201,None,None,None
Discoloration Urine,SMHB00201,None,None,None
Discoloration Urine,SMHB00201,None,None,None
Sputum,SMHB00201,None,None,None
 Migratory Pain,SMHB00201,None,None,None
Gangrene,SMHB00201,None,None,None
Chest Symptom Discomfort,SMHB00201,None,None,None
Swelling,SMHB00201,None,None,None
Ache,SMHB00201,None,None,None
Sore Eye,SMHB00201,None,None,None
Necrosis,SMHB00201,None,None,None
Left Flank Pain,SMHB00201,1.20E-05,0.000167,0.306036
Sprain Of Joint,SMHB00201,0.018607,0.046865,1
Bloating Feeling,SMHB00201,None,None,None
Pain Radiating,SMHB00201,None,None,None
Crushing Pain,SMHB00201,None,None,None
Vulvar Abscess,SMHB00201,0.018607,0.046865,1
 Vulvar Abscess,SMHB00201,0.018607,0.046865,1
Cough Persistent,SMHB00201,0.004839,0.02177,1
Right Flank Pain,SMHB00192,None,None,None
Vaginal Discharge White,SMHB00192,None,None,None
Bright Red Blood Per Rectum,SMHB00192,None,None,None
Flank Pain,SMHB00192,None,None,None
Hematemesis,SMHB00192,None,None,None
"Melena
",SMHB00192,6.40E-05,0.000658,1
Vagina,SMHB00192,0.024473,0.052525,1
Nocturia,SMHB00192,None,None,None
Vaginal Discharge,SMHB00192,0.024473,0.052525,1
Uterine Bleeding,SMHB00192,1.60E-05,0.00021,0.400784
Hemorrhage Postpartum,SMHB00192,0.004734,0.021453,1
Enuresis,SMHB00192,None,None,None
Hemorrhoid Bleeding,SMHB00192,None,None,None
Dysentery,SMHB00192,None,None,None
Left Flank Pain,SMHB00192,None,None,None
Metrorrhagia,SMHB00192,None,None,None
Menorrhagia,SMHB00192,0.001313,0.007525,1
Menometrorrhagia,SMHB00192,0.001313,0.007525,1
(leukorrhea Unspecified) Or (vaginal Discharge Nos),SMHB00192,6.40E-05,0.000658,1
Abdomen Distention,SMHB00191,0.000438,0.003154,1
Right Flank Pain,SMHB00191,None,None,None
 Physical Suffering,SMHB00191,None,None,None
Vaginal Discharge White,SMHB00191,None,None,None
Flank Pain,SMHB00191,None,None,None
Abdominal Pain,SMHB00191,None,None,None
Smarting Of Skin,SMHB00191,0.012549,0.039351,1
Hematoma,SMHB00191,0.024945,0.053056,1
Hyperalgia,SMHB00191,None,None,None
Colic,SMHB00191,0.037192,0.065886,1
Skin Pain,SMHB00191,0.012549,0.039351,1
Jaundice,SMHB00191,None,None,None
Pain,SMHB00191,None,None,None
Breast Cyst,SMHB00191,0.012549,0.039351,1
Burning Pain,SMHB00191,None,None,None
 Splitting Pain,SMHB00191,None,None,None
Skin Swelling,SMHB00191,0.024945,0.053056,1
Abdominal Cramp,SMHB00191,0.024945,0.053056,1
Infantile Colic,SMHB00191,0.012549,0.039351,1
 Migratory Pain,SMHB00191,None,None,None
Carbuncle,SMHB00191,None,None,None
Chest Symptom Discomfort,SMHB00191,None,None,None
Breast Pain,SMHB00191,0.003072,0.015061,1
Swelling,SMHB00191,None,None,None
Ache,SMHB00191,None,None,None
 name Dilation,SMHB00191,0.002211,0.011636,1
 Stomach Discomfort,SMHB00191,None,None,None
Left Flank Pain,SMHB00191,None,None,None
Bloating Feeling,SMHB00191,None,None,None
Pain Radiating,SMHB00191,None,None,None
Crushing Pain,SMHB00191,None,None,None
Abnormal Stools,SMHB00191,None,None,None
Abdomen Distention,SMHB00197,0.041086,0.069718,1
Sharp Headache,SMHB00197,None,None,None
Right Flank Pain,SMHB00197,8.70E-05,0.000844,1
Cataract,SMHB00197,None,None,None
 Physical Suffering,SMHB00197,None,None,None
Intermittant Vertigo,SMHB00197,None,None,None
"Headache, Periorbital",SMHB00197,None,None,None
 Lens Opacity,SMHB00197,None,None,None
Bilateral Headache,SMHB00197,None,None,None
Vertigo,SMHB00197,None,None,None
Other Conjunctivitis Nos,SMHB00197,0.025963,0.053664,1
Flank Pain,SMHB00197,8.70E-05,0.000844,1
Ocular Headache,SMHB00197,None,None,None
Vertigo Postural,SMHB00197,None,None,None
Vertigo Central Origin,SMHB00197,None,None,None
Abdominal Pain,SMHB00197,None,None,None
Headache Throbbing,SMHB00197,None,None,None
Chest Pain,SMHB00197,0.002368,0.012274,1
Hyperalgia,SMHB00197,None,None,None
Radiculopathy,SMHB00197,0.025963,0.053664,1
German Measles,SMHB00197,None,None,None
Brain Stem Vertigo,SMHB00197,None,None,None
Orthostatic Headache,SMHB00197,None,None,None
Nerve Root Disorder,SMHB00197,0.025963,0.053664,1
Pain,SMHB00197,None,None,None
Respiratory Abnormality,SMHB00197,None,None,None
Breast Cyst,SMHB00197,0.025963,0.053664,1
Blurred Vision,SMHB00197,None,None,None
Burning Pain,SMHB00197,None,None,None
 Orthostasis,SMHB00197,None,None,None
 Splitting Pain,SMHB00197,None,None,None
Motion Sickness,SMHB00197,0.000663,0.00437,1
Lightheadedness,SMHB00197,None,None,None
"Neuralgia, Sluder",SMHB00197,0.025963,0.053664,1
Cervical Radiculopathy,SMHB00197,0.025963,0.053664,1
 Essential Vertigo,SMHB00197,None,None,None
Micturition Burning,SMHB00197,None,None,None
Trigeminal Autonomic Cephalgia,SMHB00197,0.025963,0.053664,1
Air Sickness,SMHB00197,0.000663,0.00437,1
 Migratory Pain,SMHB00197,None,None,None
Carbuncle,SMHB00197,None,None,None
Chest Symptom Discomfort,SMHB00197,None,None,None
Dizziness,SMHB00197,None,None,None
Nerve Root Pain,SMHB00197,0.025963,0.053664,1
Neuralgia Facial,SMHB00197,0.025963,0.053664,1
Ache,SMHB00197,None,None,None
Scalp Pruritus,SMHB00197,0.025963,0.053664,1
Vision Halo,SMHB00197,0.025963,0.053664,1
Eyelid Irritation,SMHB00197,0.025963,0.053664,1
 Generalised Headache,SMHB00197,None,None,None
Dysentery,SMHB00197,None,None,None
 Vertigo Paroxysmal,SMHB00197,None,None,None
Left Flank Pain,SMHB00197,8.70E-05,0.000844,1
Pseudoaphakia,SMHB00197,None,None,None
"Avulsion, Nerve Root",SMHB00197,0.025963,0.053664,1
Sea Sickness,SMHB00197,0.000663,0.00437,1
Eye Blood Shot,SMHB00197,None,None,None
Bloating Feeling,SMHB00197,None,None,None
Pain Radiating,SMHB00197,None,None,None
Crushing Pain,SMHB00197,None,None,None
Vertex Headache,SMHB00197,None,None,None
"Headache, Retro-Ocular",SMHB00197,None,None,None
Compression Nerve Root,SMHB00197,0.025963,0.053664,1
"Headache, Dull",SMHB00197,None,None,None
Headache Unilateral,SMHB00197,None,None,None
Radiculitis,SMHB00197,0.025963,0.053664,1
Constant Vertigo,SMHB00197,None,None,None
Myofacial Pain Syndrome,SMHB00197,0.025963,0.053664,1
Peripheral Vertigo,SMHB00197,None,None,None
Headache,SMHB00197,None,None,None
Pharyngolaryngitis,SMHB00204,0.041965,0.070815,1
Blanching Of Skin,SMHB00204,0.021203,0.04873,1
Larynx,SMHB00204,0.004229,0.019581,1
Laryngopharyngeal Dysaesthesia,SMHB00204,None,None,None
Tongue Ulcer,SMHB00204,None,None,None
